ŽžŠÔ[s],CH1(Max)[V],CH1(Min)[V],CH2(Max)[V],CH2(Min)[V],CH3(Max)[V],CH3(Min)[V],CH4(Max)[V],CH4(Min)[V],CH5(Max)[V],CH5(Min)[V],CH6(Max)[V],CH6(Min)[V]
10.5000 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,3.1375 ,3.1313 ,0.0125 ,0.0063 
10.5500 ,0.0125 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0025 ,0.0025 ,-0.0025 ,3.1375 ,3.1313 ,0.0125 ,0.0063 
10.6000 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,-0.0025 ,-0.0025 ,3.1375 ,3.1313 ,0.0188 ,0.0063 
10.6500 ,0.0150 ,0.0125 ,0.0150 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0050 ,3.1375 ,3.1375 ,0.0125 ,0.0063 
10.7000 ,0.0150 ,0.0100 ,0.0175 ,0.0150 ,0.0100 ,0.0050 ,0.0000 ,-0.0075 ,3.1375 ,3.1313 ,0.0125 ,0.0063 
10.7500 ,0.0150 ,0.0125 ,0.0175 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,3.1375 ,3.1313 ,0.0125 ,0.0063 
10.8000 ,0.0150 ,0.0100 ,0.0175 ,0.0125 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,3.1375 ,3.1375 ,0.0188 ,0.0063 
10.8500 ,0.0150 ,0.0125 ,0.0175 ,0.0150 ,0.0075 ,0.0025 ,0.0000 ,-0.0050 ,3.1375 ,3.1313 ,0.0188 ,0.0063 
10.9000 ,0.0150 ,0.0100 ,0.0175 ,0.0150 ,0.0075 ,0.0025 ,-0.0025 ,-0.0050 ,3.1375 ,3.1313 ,0.0125 ,0.0063 
10.9500 ,0.0175 ,0.0125 ,0.0175 ,0.0150 ,0.0050 ,0.0025 ,0.0000 ,-0.0025 ,3.1375 ,3.1313 ,0.0188 ,0.0063 
11.0000 ,0.0150 ,0.0100 ,0.0175 ,0.0150 ,0.0050 ,0.0025 ,0.0000 ,-0.0050 ,3.1250 ,3.1125 ,0.0188 ,0.0125 
11.0500 ,0.0175 ,0.0100 ,0.0200 ,0.0150 ,0.0075 ,0.0050 ,0.0000 ,-0.0025 ,3.1125 ,3.1000 ,0.0125 ,0.0063 
11.1000 ,0.0175 ,0.0150 ,0.0200 ,0.0150 ,0.0050 ,0.0025 ,0.0000 ,-0.0050 ,3.0938 ,3.0813 ,0.0125 ,0.0063 
11.1500 ,0.0175 ,0.0150 ,0.0200 ,0.0150 ,0.0050 ,0.0025 ,0.0025 ,-0.0050 ,3.0813 ,3.0688 ,0.0125 ,0.0063 
11.2000 ,0.0175 ,0.0125 ,0.0175 ,0.0150 ,0.0075 ,0.0025 ,-0.0025 ,-0.0050 ,3.0688 ,3.0563 ,0.0125 ,0.0063 
11.2500 ,0.0175 ,0.0125 ,0.0175 ,0.0150 ,0.0050 ,0.0025 ,-0.0025 ,-0.0050 ,3.0625 ,3.0563 ,0.0125 ,0.0063 
11.3000 ,0.0175 ,0.0125 ,0.0175 ,0.0150 ,0.0075 ,0.0025 ,-0.0025 ,-0.0075 ,3.0563 ,3.0563 ,0.0125 ,0.0063 
11.3500 ,0.0175 ,0.0125 ,0.0175 ,0.0125 ,0.0050 ,0.0025 ,0.0000 ,-0.0050 ,3.0563 ,3.0500 ,0.0125 ,0.0063 
11.4000 ,0.0200 ,0.0150 ,0.0150 ,0.0125 ,0.0075 ,0.0025 ,-0.0025 ,-0.0050 ,3.0625 ,3.0563 ,0.0188 ,0.0063 
11.4500 ,0.0200 ,0.0150 ,0.0175 ,0.0150 ,0.0050 ,0.0025 ,-0.0025 ,-0.0050 ,3.0563 ,3.0500 ,0.0125 ,0.0063 
11.5000 ,0.0175 ,0.0150 ,0.0175 ,0.0150 ,0.0050 ,0.0025 ,-0.0025 ,-0.0050 ,3.0563 ,3.0438 ,0.0125 ,0.0063 
