Time[s],,é©å»î‰är-X,é©å»î‰är-Y,ïWèÄî‰är-X,ïWèÄî‰är-Y,CH5(Max)[V],CH6(Max)[V]
22.75 ,-0.007 ,-0.2550 ,-0.7700 ,-0.3850 ,-0.3550 ,3.7875 ,0.5750 
22.80 ,-0.007 ,-0.2775 ,-0.7550 ,-0.3875 ,-0.3450 ,3.7875 ,0.6438 
22.85 ,-0.007 ,-0.3050 ,-0.7425 ,-0.3925 ,-0.3375 ,3.7875 ,0.6313 
22.90 ,-0.007 ,-0.3275 ,-0.7175 ,-0.3950 ,-0.3250 ,3.7875 ,0.4000 
22.95 ,-0.004 ,-0.3450 ,-0.7050 ,-0.4000 ,-0.3125 ,3.7813 ,0.0625 
23.00 ,-0.004 ,-0.3625 ,-0.6900 ,-0.4000 ,-0.3025 ,3.7813 ,0.0188 
23.05 ,-0.004 ,-0.3850 ,-0.6650 ,-0.4050 ,-0.2900 ,3.7813 ,0.0125 
23.10 ,-0.004 ,-0.4150 ,-0.6450 ,-0.4075 ,-0.2775 ,3.7813 ,0.0125 
23.15 ,0.000 ,-0.4400 ,-0.6200 ,-0.4100 ,-0.2650 ,3.7750 ,0.0125 
23.20 ,0.000 ,-0.4575 ,-0.6000 ,-0.4125 ,-0.2525 ,3.7750 ,0.0125 
23.25 ,0.000 ,-0.4725 ,-0.5800 ,-0.4150 ,-0.2425 ,3.7750 ,0.0125 
23.30 ,0.000 ,-0.4900 ,-0.5675 ,-0.4125 ,-0.2325 ,3.7750 ,0.0125 
23.35 ,0.000 ,-0.5050 ,-0.5525 ,-0.4150 ,-0.2250 ,3.7750 ,0.0125 
23.40 ,0.000 ,-0.5275 ,-0.5275 ,-0.4175 ,-0.2125 ,3.7750 ,0.0125 
23.45 ,0.004 ,-0.5500 ,-0.5025 ,-0.4175 ,-0.1975 ,3.7688 ,0.0125 
23.50 ,0.004 ,-0.5700 ,-0.4675 ,-0.4175 ,-0.1825 ,3.7688 ,0.0125 
23.55 ,0.004 ,-0.5800 ,-0.4475 ,-0.4175 ,-0.1650 ,3.7688 ,0.0125 
23.60 ,0.004 ,-0.5850 ,-0.4275 ,-0.4175 ,-0.1600 ,3.7688 ,0.0125 
23.65 ,0.004 ,-0.5900 ,-0.4175 ,-0.4125 ,-0.1525 ,3.7688 ,0.0125 
23.70 ,0.007 ,-0.5975 ,-0.4100 ,-0.4150 ,-0.1475 ,3.7625 ,0.0125 
23.75 ,0.007 ,-0.6050 ,-0.4000 ,-0.4125 ,-0.1400 ,3.7625 ,0.0125 
23.80 ,0.004 ,-0.6125 ,-0.3800 ,-0.4100 ,-0.1300 ,3.7688 ,0.0125 
23.85 ,0.007 ,-0.6225 ,-0.3600 ,-0.4075 ,-0.1200 ,3.7625 ,0.0125 
23.90 ,0.007 ,-0.6300 ,-0.3375 ,-0.4050 ,-0.1050 ,3.7625 ,0.0125 
23.95 ,0.007 ,-0.6375 ,-0.3175 ,-0.3975 ,-0.1000 ,3.7625 ,0.0125 
24.00 ,0.011 ,-0.6400 ,-0.3025 ,-0.3950 ,-0.0925 ,3.7563 ,0.0063 
24.05 ,0.011 ,-0.6400 ,-0.2875 ,-0.3900 ,-0.0875 ,3.7563 ,0.0063 
24.10 ,0.011 ,-0.6425 ,-0.2775 ,-0.3900 ,-0.0825 ,3.7563 ,0.0125 
24.15 ,0.011 ,-0.6475 ,-0.2675 ,-0.3850 ,-0.0775 ,3.7563 ,0.0125 
24.20 ,0.011 ,-0.6450 ,-0.2575 ,-0.3800 ,-0.0700 ,3.7563 ,0.0125 
24.25 ,0.015 ,-0.6475 ,-0.2375 ,-0.3750 ,-0.0625 ,3.7500 ,0.0125 
24.30 ,0.015 ,-0.6450 ,-0.2200 ,-0.3625 ,-0.0550 ,3.7500 ,0.0125 
24.35 ,0.015 ,-0.6400 ,-0.2075 ,-0.3550 ,-0.0500 ,3.7500 ,0.0125 
24.40 ,0.015 ,-0.6400 ,-0.1975 ,-0.3500 ,-0.0450 ,3.7500 ,0.0063 
24.45 ,0.015 ,-0.6375 ,-0.1925 ,-0.3450 ,-0.0450 ,3.7500 ,0.0125 
24.50 ,0.015 ,-0.6350 ,-0.1850 ,-0.3375 ,-0.0400 ,3.7500 ,0.0125 
24.55 ,0.018 ,-0.6325 ,-0.1775 ,-0.3300 ,-0.0350 ,3.7438 ,0.0125 
24.60 ,0.018 ,-0.6250 ,-0.1675 ,-0.3275 ,-0.0325 ,3.7438 ,0.0188 
24.65 ,0.018 ,-0.6200 ,-0.1600 ,-0.3200 ,-0.0275 ,3.7438 ,0.0125 
24.70 ,0.018 ,-0.6150 ,-0.1525 ,-0.3175 ,-0.0225 ,3.7438 ,0.0125 
24.75 ,0.018 ,-0.6125 ,-0.1475 ,-0.3125 ,-0.0200 ,3.7438 ,0.0125 
