"çïïîêÏëÊÇRÇoÅ^ÇrÇYÇQçÜã@  ÇRë‰ìØéû"
"ãLò^í∑","éûä‘é≤","ƒÿ∂ﬁì˙ït","ƒÿ∂ﬁéûçè"
"1000DIV","5s (10ms)","12-09-05","13:57:11"

"¡¨»Ÿ","±›Ãﬂ","ìdà≥é≤","∫“›ƒ","Ωπ∞ÿ›∏ﬁ","ïœä∑î‰","µÃæØƒ","Ã®Ÿ¿"
"CH1","8936 analog","200mV","ìdó¨","OFF","-","-","500Hz"
"CH2","8936 analog","200mV","ìdà≥","OFF","-","-","500Hz"
"CH3","8936 analog","200mV","ÇfÇu","OFF","-","-","5Hz"
"CH4","8936 analog","200mV","êßà≥ã@","OFF","-","-","500Hz"
"CH5","8936 analog","500mV","âÒì]ë¨ìx","OFF","-","-","5Hz"
"CH6","8936 analog","500mV","","OFF","-","-","5Hz"

"éûä‘[s]","CH1(Max)[V]","CH1(Min)[V]","CH2(Max)[V]","CH2(Min)[V]","CH3(Max)[V]","CH3(Min)[V]","CH4(Max)[V]","CH4(Min)[V]","CH5(Max)[V]","CH5(Min)[V]","CH6(Max)[V]","CH6(Min)[V]"
0.0000000e+000,-7.25000e-002,-7.75000e-002,+1.45000e-001,+1.42500e-001,+1.25000e-002,+1.00000e-002,+0.00000e+000,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
5.0000000e-002,-7.25000e-002,-7.75000e-002,+1.45000e-001,+1.42500e-001,+1.00000e-002,+7.50000e-003,+2.50000e-003,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,-6.25000e-003
1.0000000e-001,-7.25000e-002,-7.75000e-002,+1.45000e-001,+1.42500e-001,+1.00000e-002,+7.50000e-003,+2.50000e-003,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
1.5000000e-001,-7.00000e-002,-7.75000e-002,+1.45000e-001,+1.40000e-001,+1.00000e-002,+1.00000e-002,+0.00000e+000,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,-6.25000e-003
2.0000000e-001,-7.25000e-002,-7.25000e-002,+1.45000e-001,+1.40000e-001,+1.00000e-002,+7.50000e-003,+0.00000e+000,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
2.5000000e-001,-7.00000e-002,-7.50000e-002,+1.45000e-001,+1.40000e-001,+1.00000e-002,+1.00000e-002,+0.00000e+000,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
3.0000000e-001,-7.00000e-002,-7.50000e-002,+1.42500e-001,+1.37500e-001,+1.25000e-002,+1.00000e-002,+2.50000e-003,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
3.5000000e-001,-7.00000e-002,-7.25000e-002,+1.40000e-001,+1.40000e-001,+1.25000e-002,+1.25000e-002,+2.50000e-003,-2.50000e-003,+2.76250e+000,+2.75625e+000,+3.12500e-002,-6.25000e-003
4.0000000e-001,-7.00000e-002,-7.50000e-002,+1.42500e-001,+1.37500e-001,+1.50000e-002,+1.25000e-002,+2.50000e-003,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,-6.25000e-003
4.5000000e-001,-7.50000e-002,-7.50000e-002,+1.45000e-001,+1.37500e-001,+1.25000e-002,+1.00000e-002,+5.00000e-003,+0.00000e+000,+2.76250e+000,+2.75625e+000,+2.50000e-002,-6.25000e-003
5.0000000e-001,-7.00000e-002,-7.75000e-002,+1.42500e-001,+1.40000e-001,+1.25000e-002,+1.00000e-002,+2.50000e-003,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
5.5000000e-001,-7.00000e-002,-7.25000e-002,+1.45000e-001,+1.40000e-001,+1.25000e-002,+1.00000e-002,+0.00000e+000,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,-6.25000e-003
6.0000000e-001,-7.00000e-002,-7.25000e-002,+1.42500e-001,+1.40000e-001,+1.00000e-002,+7.50000e-003,+5.00000e-003,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
6.5000000e-001,-7.00000e-002,-7.00000e-002,+1.42500e-001,+1.40000e-001,+1.00000e-002,+7.50000e-003,+2.50000e-003,-2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,-6.25000e-003
7.0000000e-001,-7.00000e-002,-7.25000e-002,+1.42500e-001,+1.40000e-001,+1.00000e-002,+7.50000e-003,+0.00000e+000,+0.00000e+000,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
7.5000000e-001,-7.00000e-002,-7.25000e-002,+1.40000e-001,+1.40000e-001,+1.25000e-002,+1.00000e-002,+2.50000e-003,+0.00000e+000,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
8.0000000e-001,-7.00000e-002,-7.75000e-002,+1.42500e-001,+1.37500e-001,+1.25000e-002,+1.00000e-002,+5.00000e-003,+2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
8.5000000e-001,-7.00000e-002,-7.25000e-002,+1.42500e-001,+1.40000e-001,+1.25000e-002,+7.50000e-003,+7.50000e-003,+5.00000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
9.0000000e-001,-7.00000e-002,-7.25000e-002,+1.40000e-001,+1.40000e-001,+1.00000e-002,+7.50000e-003,+7.50000e-003,+2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
9.5000000e-001,-7.00000e-002,-7.25000e-002,+1.42500e-001,+1.40000e-001,+7.50000e-003,+5.00000e-003,+1.00000e-002,+2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
1.0000000e+000,-7.00000e-002,-7.50000e-002,+1.42500e-001,+1.37500e-001,+1.00000e-002,+7.50000e-003,+7.50000e-003,+2.50000e-003,+2.76875e+000,+2.75625e+000,+2.50000e-002,-6.25000e-003
1.0500000e+000,-7.25000e-002,-7.50000e-002,+1.45000e-001,+1.40000e-001,+1.00000e-002,+7.50000e-003,+7.50000e-003,+2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,-6.25000e-003
1.1000000e+000,-7.00000e-002,-7.75000e-002,+1.42500e-001,+1.37500e-001,+7.50000e-003,+5.00000e-003,+7.50000e-003,+2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
1.1500000e+000,-7.50000e-002,-8.00000e-002,+1.42500e-001,+1.40000e-001,+1.00000e-002,+7.50000e-003,+7.50000e-003,+2.50000e-003,+2.76250e+000,+2.76250e+000,+2.50000e-002,+0.00000e+000
1.2000000e+000,-7.50000e-002,-7.75000e-002,+1.45000e-001,+1.40000e-001,+7.50000e-003,+5.00000e-003,+7.50000e-003,+2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,-6.25000e-003
1.2500000e+000,-7.50000e-002,-7.75000e-002,+1.42500e-001,+1.42500e-001,+7.50000e-003,+5.00000e-003,+7.50000e-003,+5.00000e-003,+2.76250e+000,+2.75625e+000,+3.12500e-002,+0.00000e+000
1.3000000e+000,-7.25000e-002,-7.75000e-002,+1.45000e-001,+1.40000e-001,+7.50000e-003,+7.50000e-003,+7.50000e-003,+7.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
1.3500000e+000,-7.50000e-002,-7.75000e-002,+1.45000e-001,+1.37500e-001,+1.00000e-002,+5.00000e-003,+5.00000e-003,+2.50000e-003,+2.76250e+000,+2.75625e+000,+3.12500e-002,+0.00000e+000
1.4000000e+000,-7.00000e-002,-7.75000e-002,+1.42500e-001,+1.40000e-001,+1.00000e-002,+7.50000e-003,+5.00000e-003,+2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,-6.25000e-003
1.4500000e+000,-7.25000e-002,-7.75000e-002,+1.42500e-001,+1.40000e-001,+7.50000e-003,+5.00000e-003,+7.50000e-003,+2.50000e-003,+2.76250e+000,+2.75625e+000,+1.87500e-002,+0.00000e+000
1.5000000e+000,-7.25000e-002,-7.75000e-002,+1.42500e-001,+1.37500e-001,+7.50000e-003,+7.50000e-003,+2.50000e-003,+2.50000e-003,+2.76250e+000,+2.75625e+000,+2.50000e-002,+0.00000e+000
