"矢板鋼試験片実験データ No.03","NONAME03.REC"
"Shot","(Data Num)","Trig Date","Trig Time"
"CONT : 2min40.6s","3213","11-08-30","14:06:40"

"CH","Unit","Mode","Range","Comment","Scaling","Ratio","Offset","EU","Filter"
"CH1","8936 analog","","200mV","ch1 X軸","OFF","-","-","V","500Hz"
"CH2","8936 analog","","200mV","ch1 Y軸","OFF","-","-","V","500Hz"
"CH3","8936 analog","","200mV","ch2 X軸","OFF","-","-","V","500Hz"
"CH4","8936 analog","","200mV","ch2 Y軸","OFF","-","-","V","500Hz"
"CH5","8936 analog","","500mV","移動距離","OFF","-","-","V","5Hz"
"CH6","8936 analog","","500mV","マーカー","OFF","-","-","V","5Hz"


"Time[s]","CH1(Max)[V]","CH1(Min)[V]","CH2(Max)[V]","CH2(Min)[V]","CH3(Max)[V]","CH3(Min)[V]","CH4(Max)[V]","CH4(Min)[V]","CH5(Max)[V]","CH5(Min)[V]","CH6(Max)[V]","CH6(Min)[V]"
2.27500000e+001,-2.37500e-001,-2.55000e-001,-7.60000e-001,-7.70000e-001,-3.80000e-001,-3.85000e-001,-3.47500e-001,-3.55000e-001,+3.78750e+000,+3.78125e+000,+5.75000e-001,+6.25000e-003
2.28000000e+001,-2.57500e-001,-2.77500e-001,-7.42500e-001,-7.55000e-001,-3.82500e-001,-3.87500e-001,-3.37500e-001,-3.45000e-001,+3.78750e+000,+3.78125e+000,+6.43750e-001,+6.25000e-001
2.28500000e+001,-2.85000e-001,-3.05000e-001,-7.22500e-001,-7.42500e-001,-3.87500e-001,-3.92500e-001,-3.25000e-001,-3.37500e-001,+3.78750e+000,+3.77500e+000,+6.31250e-001,+5.87500e-001
2.29000000e+001,-3.10000e-001,-3.27500e-001,-7.05000e-001,-7.17500e-001,-3.92500e-001,-3.95000e-001,-3.12500e-001,-3.25000e-001,+3.78750e+000,+3.77500e+000,+4.00000e-001,+1.00000e-001
2.29500000e+001,-3.30000e-001,-3.45000e-001,-6.90000e-001,-7.05000e-001,-3.97500e-001,-4.00000e-001,-3.05000e-001,-3.12500e-001,+3.78125e+000,+3.78125e+000,+6.25000e-002,+1.87500e-002
2.30000000e+001,-3.45000e-001,-3.62500e-001,-6.72500e-001,-6.90000e-001,-3.97500e-001,-4.00000e-001,-2.95000e-001,-3.02500e-001,+3.78125e+000,+3.77500e+000,+1.87500e-002,+6.25000e-003
2.30500000e+001,-3.65000e-001,-3.85000e-001,-6.47500e-001,-6.65000e-001,-4.00000e-001,-4.05000e-001,-2.80000e-001,-2.90000e-001,+3.78125e+000,+3.77500e+000,+1.25000e-002,+6.25000e-003
2.31000000e+001,-3.95000e-001,-4.15000e-001,-6.25000e-001,-6.45000e-001,-4.02500e-001,-4.07500e-001,-2.65000e-001,-2.77500e-001,+3.78125e+000,+3.77500e+000,+1.25000e-002,+6.25000e-003
2.31500000e+001,-4.22500e-001,-4.40000e-001,-6.00000e-001,-6.20000e-001,-4.05000e-001,-4.10000e-001,-2.55000e-001,-2.65000e-001,+3.77500e+000,+3.76875e+000,+1.25000e-002,+6.25000e-003
2.32000000e+001,-4.42500e-001,-4.57500e-001,-5.82500e-001,-6.00000e-001,-4.07500e-001,-4.12500e-001,-2.45000e-001,-2.52500e-001,+3.77500e+000,+3.76875e+000,+1.25000e-002,+6.25000e-003
